rank,legal_name,approval_count,approval_rate,case_count,denied_count,certified_positions,industry,naics_code,hq_location,socal_worksites,aliases
1,Apple Inc.,70,1.0000,70,0,70,Manufacturing,334111,"Cupertino, CA",Culver City | Irvine | Los Angeles | San Diego,Apple Inc.
2,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",64,1.0000,64,0,64,Educational services,611310,"LA JOLLA, CA",El Centro | La Jolla | San Diego,"UNIVERSITY OF CALIFORNIA, SAN DIEGO"
3,California Institute of Technology/Jet Propulsion Laboratory,35,1.0000,35,0,35,Educational services,611310,"Pasadena, CA",Los Angeles | Pasadena | PASADENA,California Institute of Technology | California Institute of Technology/Jet Propulsion Laboratory
4,The University of Southern California,21,1.0000,21,0,21,Educational services,611310,"Los Angeles, CA",Los Angeles | Playa Vista | San Diego,THE UNIVERSITY OF SOUTHERN CALIFORNIA | The University of Southern California
5,"Rivian Automotive, LLC",17,1.0000,17,0,17,Manufacturing,336111,"Irvine, CA",Irvine | Torrance | Tustin,"RIVIAN AUTOMOTIVE, LLC | Rivian Automotive, LLC"
6,Sanford Burnham Prebys Medical Discovery Institute,13,1.0000,13,0,13,"Professional, scientific & technical services",54171,"La Jolla, CA",La Jolla,Sanford Burnham Prebys Medical Discovery Institute
7,The Scripps Research Institute,13,1.0000,13,0,13,"Professional, scientific & technical services",54171,"La Jolla, CA",La Jolla | San Diego,The Scripps Research Institute
8,SONY INTERACTIVE ENTERTAINMENT LLC,10,1.0000,10,0,10,"Professional, scientific & technical services",541511,"SAN MATEO, CA",ALISO VIEJO | Los Angeles | San Diego | SAN DIEGO,SONY INTERACTIVE ENTERTAINMENT LLC | Sony Interactive Entertainment LLC
9,University of California at Santa Barbara,10,1.0000,10,0,10,Educational services,611310,"Santa Barbara, CA",SANTA BARBARA | Santa Barbara,University of California at Santa Barbara
10,"UNIVERSITY OF CALIFORNIA, IRVINE",9,1.0000,9,0,9,Educational services,611310,"IRVINE, CA",IRVINE,"UNIVERSITY OF CALIFORNIA, IRVINE"
11,WIPRO LIMITED,6,1.0000,6,0,9,"Professional, scientific & technical services",541511,"EAST BRUNSWICK, NJ",Irvine | Los Angeles | Thousand Oaks | Torrance | Woodland Hills,WIPRO LIMITED
12,CAPGEMINI AMERICA INC,6,1.0000,6,0,6,"Professional, scientific & technical services",541512,"CHICAGO, IL",CHINO | IRVINE | Irvine | SYLMAR | Westminster,CAPGEMINI AMERICA INC
13,"Illumina, Inc.",6,1.0000,6,0,6,Manufacturing,33911,"San Diego, CA",San Diego,"Illumina, Inc."
14,"RIVIAN, LLC",6,1.0000,6,0,6,Manufacturing,336111,"Irvine, CA",El Segundo | Irvine,"Rivian LLC | RIVIAN, LLC | Rivian, LLC | RIVIAN, LLC."
15,"Prime Healthcare Management, Inc",5,1.0000,5,0,5,Management of companies,551114,"Ontario, CA",Garden Grove | Ontario,"Prime Healthcare Management, Inc | PRIME HEALTHCARE MANAGEMENT, INC. | Prime Healthcare Management, Inc."
16,SNAP INC.,5,1.0000,5,0,5,Information,513210,"Santa Monica, CA",Santa Monica,SNAP INC.
17,"Finfare, Inc.",4,1.0000,4,0,4,Finance & insurance,525990,"Irvine, CA",Irvine,"Finfare, Inc."
18,"Hulu, LLC (indirect subsidiary of The Walt Disney Company)",4,1.0000,4,0,4,Information,5121,"Santa Monica, CA",Santa Monica,"Hulu, LLC (indirect subsidiary of The Walt Disney Company)"
19,Majestic IT Services Inc,4,1.0000,4,0,4,"Professional, scientific & technical services",541519,"Deerfield Beach, FL",San Diego | Tustin,Majestic IT Services Inc
20,Open Avenues Foundation,4,1.0000,4,0,4,Other services,813319,"New York, NY",Lake Forest | Los Angeles | Playa Vista | Santa Ana,Open Avenues Foundation
